BOROUGH,ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT
MANHATTAN,10001,246,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722,3
MANHATTAN,10001,299,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,699,31
MANHATTAN,10001,301,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,699,32
MANHATTAN,10001,303 TO 309,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699,33
MANHATTAN,10001,440,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,732,73
MANHATTAN,10001,442,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,732,72
MANHATTAN,10001,311,11TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,675,12
MANHATTAN,10001,312,11TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,701,62
MANHATTAN,10001,320,11TH,AVE,545 TO 577,W 30TH,ST,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,702,7502
MANHATTAN,10001,800 TO 802,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,829,1
MANHATTAN,10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS,,62,NEW YORK,MULTIPLE DWELLING B,,,804,36
MANHATTAN,10001,835 TO 851,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805,7502
MANHATTAN,10001,855,6TH,AVE,100,W 31ST,ST,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,806,7502
MANHATTAN,10001,883 TO 885,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,807,7502
MANHATTAN,10001,315,7TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,803,7501
MANHATTAN,10001,288,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774,86
MANHATTAN,10001,328,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776,4
MANHATTAN,10001,330,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776,4
MANHATTAN,10001,368,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING B,,,778,3
MANHATTAN,10001,370,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,778,75
MANHATTAN,10001,402,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,780,1
MANHATTAN,10001,404,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,780,2
MANHATTAN,10001,481,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,,758,37
MANHATTAN,10001,235,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722,40
MANHATTAN,10001,237,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722,41
MANHATTAN,10001,239,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722,42
MANHATTAN,10001,413,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,731,40
MANHATTAN,10001,415 TO 417,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,731,41
MANHATTAN,10001,1186,BROADWAY,,,,,62,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,830,54
MANHATTAN,10001,1234,BROADWAY,,38,W 31ST,ST,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,832,66
MANHATTAN,10001,226,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774,55
MANHATTAN,10001,228,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774,56
MANHATTAN,10001,231,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,775,17
MANHATTAN,10001,245,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,775,9
MANHATTAN,10001,270,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774,76
MANHATTAN,10001,401,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,723,7502
MANHATTAN,10001,412,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722,48
MANHATTAN,10001,416,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722,50
MANHATTAN,10001,127,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,802,22
MANHATTAN,10001,135,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING B,,,802,19
MANHATTAN,10001,200,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,775,44
MANHATTAN,10001,220,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,775,46
MANHATTAN,10001,229,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776,20
MANHATTAN,10001,247,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776,11
MANHATTAN,10001,249,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776,10
MANHATTAN,10001,251,W 26TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776,9
