ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT
11201,436,ALBEE,SQ,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,146.0,48.0
11201,131,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,291.0,45.0
11201,138,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,296.0,19.0
11201,141,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,291.0,40.0
11201,145,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,291.0,38.0
11201,147,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,291.0,37.0
11201,153,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING B,ROOMING HOUSE,,291.0,34.0
11201,155,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,291.0,33.0
11201,174,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,297.0,15.0
11201,176,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,297.0,16.0
11201,177,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,292.0,49.0
11201,181,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,292.0,47.0
11201,184,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,297.0,19.0
11201,186,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,297.0,19.0
11201,188,AMITY,ST,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,297.0,19.0
11201,122,ASHLAND,PL,,,,61,BROOKLYN,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,2061.0,40.0
11201,85,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,274.0,16.0
11201,88,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,284.0,13.0
11201,90,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,284.0,15.0
11201,93,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,274.0,13.0
11201,94 TO 106,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,J-51,,284.0,17.0
11201,99,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,274.0,11.0
11201,120 TO 122,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,285.0,10.0
11201,148,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,285.0,23.0
11201,154,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,285.0,26.0
11201,164 TO 168,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,J-51,,286.0,8.0
11201,182 TO 200,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,421-A (1-15),,286.0,7505.0
11201,189 TO 191,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,276.0,7.0
11201,224,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,278.0,26.0
11201,284,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,181.0,22.0
11201,288,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,181.0,24.0
11201,302,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,182.0,6.0
11201,304 TO 306,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,,,182.0,7.0
11201,307,ATLANTIC,AVE,,,,61,BROOKLYN,MULTIPLE DWELLING A,421-A (1-15),,176.0,49.0
