BOROUGH,ZIP,BUILDING_NO,STREET,BLOCK,LOT,COUNTY,CITY,STATUS1,STATUS2,STATUS3
MANHATTAN,10001,246,10th Avenue,722,3,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,299,10th Avenue,699,31,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,301,10th Avenue,699,32,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,303 TO 309,10th Avenue,699,33,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),
MANHATTAN,10001,440,10th Avenue,732,73,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,442,10th Avenue,732,72,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,311,11th Avenue,675,12,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),
MANHATTAN,10001,312,11th Avenue,701,62,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),
MANHATTAN,10001,320,11th Avenue,702,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),
MANHATTAN,10001,545 TO 577,West 30th Street,702,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),
MANHATTAN,10001,800 TO 802,6th Avenue,829,1,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),
MANHATTAN,10001,819,6th Avenue,804,36,62,NEW YORK,MULTIPLE DWELLING B,,
MANHATTAN,10001,819,Avenue Of The Americas,804,36,62,NEW YORK,MULTIPLE DWELLING B,,
MANHATTAN,10001,835 TO 851,6th Avenue,805,7502,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,855,6th Avenue,806,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),
MANHATTAN,10001,100,West 31st Street,806,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),
MANHATTAN,10001,883 TO 885,6th Avenue,807,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),
MANHATTAN,10001,315,7th Avenue,803,7501,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,288,8th Avenue,774,86,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,328,8th Avenue,776,4,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,330,8th Avenue,776,4,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,368,8th Avenue,778,3,62,NEW YORK,MULTIPLE DWELLING B,,
MANHATTAN,10001,370,8th Avenue,778,75,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE
MANHATTAN,10001,402,8th Avenue,780,1,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,404,8th Avenue,780,2,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,481,8th Avenue,758,37,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,
MANHATTAN,10001,235,9th Avenue,722,40,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,237,9th Avenue,722,41,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,239,9th Avenue,722,42,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,413,9th Avenue,731,40,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,415 TO 417,9th Avenue,731,41,62,NEW YORK,MULTIPLE DWELLING A,,
MANHATTAN,10001,1186,Broadway,830,54,62,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,
